flow,horizon,example_type,country,iso3,year,future_year,concentration_bucket,annualized_real_export_growth_log,base_exports,future_exports,base_exports_constant_2015_usd,future_exports_constant_2015_usd,product_gini,partner_gini,product_partner_cell_gini
Exports,1,fastest_growth,Panama,PAN,2005,2006,high_product_low_partner,2.090778878379897,963215608.0,8033926729.0,1244356823.9329495,10068358329.045803,0.9342700889871793,0.8524752306601568,0.9315491696581575
Exports,1,fastest_growth,Azerbaijan,AZE,2007,2008,high_product_low_partner,2.049047503452222,6036969402.0,47752588281.0,7366146208.05674,57165019855.007835,0.989242731233275,0.852167175625071,0.9868058748980175
Exports,1,fastest_growth,Rwanda,RWA,1996,1997,high_product_low_partner,1.436471032413941,9757476.0,41745955.0,15082003.65273988,63432303.73954871,0.9415795266934621,0.7675161821840737,0.9039865717372793
Exports,1,fastest_growth,Guyana,GUY,2019,2020,high_product_high_partner,1.2446740325733856,1486517190.8760002,5195921811.127,1517472339.1549134,5268364898.4089,0.987711412462188,0.9067919798765376,0.983473041481181
Exports,1,fastest_growth,Zimbabwe,ZWE,2005,2006,high_product_high_partner,1.0925863020110107,1878268248.3610003,5773676470.191999,2426492981.023828,7235744803.1031685,0.9674374315844589,0.9095547777045281,0.9640407286125197
Exports,1,slowest_growth,Rwanda,RWA,2001,2002,high_product_high_partner,-1.6251698180314627,186706568.0,37329699.0,264545969.02934158,52083344.48801498,0.9810859779900931,0.9336474867071214,0.9767590687070611
Exports,1,slowest_growth,Azerbaijan,AZE,2008,2009,high_product_low_partner,-1.1861970927641998,47752588281.0,14672649400.0,57165019855.007835,17457076168.811775,0.9972822836719657,0.882516002879685,0.9940677472301507
Exports,1,slowest_growth,Panama,PAN,2023,2024,high_product_low_partner,-1.0914875666927628,3366813480.0,1158357714.0,2946679241.529728,989249492.9933231,0.9760469879494964,0.901027724177474,0.9708059938309153
Exports,1,slowest_growth,Panama,PAN,2020,2021,low_product_low_partner,-0.8705616427724543,8652773550.0,3781922651.0,8773413092.375486,3673571193.0216475,0.9253574095735069,0.8177336022361945,0.9338728027676231
Exports,1,slowest_growth,Zimbabwe,ZWE,2007,2008,high_product_high_partner,-0.8364105666228703,2640950132.182,1166271396.9360003,3222415670.2524543,1396153171.2135715,0.972023906106779,0.9101422517927205,0.969469361317816
Exports,5,fastest_growth,Rwanda,RWA,1996,2001,high_product_low_partner,0.5729025620354584,9757476.0,186706568.0,15082003.65273988,264545969.02934158,0.9415795266934621,0.7675161821840737,0.9039865717372793
Exports,5,fastest_growth,Azerbaijan,AZE,2003,2008,high_product_high_partner,0.5562634844155937,2588603121.0,47752588281.0,3541763433.7650394,57165019855.007835,0.9903478703681781,0.904377869323415,0.9859461460707191
Exports,5,fastest_growth,Guyana,GUY,2019,2024,high_product_high_partner,0.5069252184453973,1486517190.8760002,22409479415.308,1517472339.1549134,19137927672.865437,0.987711412462188,0.9067919798765376,0.983473041481181
Exports,5,fastest_growth,Guyana,GUY,2017,2022,high_product_low_partner,0.47541891435949635,1789689907.669,22560253323.912003,1898679820.283917,20455532525.27852,0.988854457491487,0.8822897169367694,0.9840599496889249
Exports,5,fastest_growth,Panama,PAN,2004,2009,high_product_low_partner,0.47477591073166747,891105142.0,10716632950.0,1187294707.4062452,12750326991.480354,0.9343030546306903,0.8552434218010285,0.934529473473203
Exports,5,slowest_growth,Panama,PAN,2019,2024,low_product_low_partner,-0.47611644556739774,10476801467.0,1158357714.0,10694969776.717701,989249492.9933231,0.9293469535476488,0.8380139944366003,0.9385672893648196
Exports,5,slowest_growth,Panama,PAN,2018,2023,low_product_low_partner,-0.2790760027815821,11478703477.0,3366813480.0,11894294952.059982,2946679241.529728,0.93291047981452,0.8500090216323906,0.9436372601880947
Exports,5,slowest_growth,Panama,PAN,2017,2022,low_product_low_partner,-0.2535473601267462,11089526431.0,3652153568.0,11764864941.585735,3311432058.1831865,0.9258749121903613,0.8580733464199237,0.9392079768909305
Exports,5,slowest_growth,Panama,PAN,2016,2021,low_product_low_partner,-0.23162202700312945,10842217254.0,3781922651.0,11696321621.728062,3673571193.0216475,0.9260990431670069,0.844979897202979,0.9358610362366817
Exports,5,slowest_growth,Niger,NER,2017,2022,high_product_high_partner,-0.17576072009382884,870777712.4619999,423111547.09499997,923807003.3919923,383638068.6492173,0.9768529100151742,0.9165861614575537,0.972875483981368
Exports,10,fastest_growth,Azerbaijan,AZE,1998,2008,high_product_low_partner,0.4139376066340425,606149410.0,47752588281.0,910798222.8251388,57165019855.007835,0.9667119154293811,0.8360573894025567,0.9496648489234669
Exports,10,fastest_growth,Panama,PAN,2002,2012,high_product_low_partner,0.2883778726514784,759613136.0,16761427112.0,1059831546.9918301,18951606507.90213,0.9332340841213922,0.8232985529373691,0.9369367035308904
Exports,10,fastest_growth,Panama,PAN,2001,2011,low_product_low_partner,0.2770778651693352,809002777.0,15895615039.0,1146282243.208998,18307348290.62704,0.9262094287326268,0.8331951650213902,0.9341586566985383
Exports,10,fastest_growth,Panama,PAN,2003,2013,high_product_low_partner,0.2761446652239087,801050838.0,15564079695.0,1096009096.025208,17341841062.487553,0.9367297881292576,0.8508356125321768,0.9397649568782795
Exports,10,fastest_growth,Guyana,GUY,2014,2024,high_product_low_partner,0.26992776859709267,1174049882.0,22409479415.308,1287103599.3335202,19137927672.865437,0.988778851045655,0.8798335436320142,0.9815202307457473
Exports,10,slowest_growth,Panama,PAN,2014,2024,low_product_low_partner,-0.2725693627268392,13776299709.0,1158357714.0,15102871873.50633,989249492.9933231,0.9297524996719972,0.8748600141857101,0.9423405749651508
Exports,10,slowest_growth,Panama,PAN,2013,2023,low_product_low_partner,-0.17724432845637422,15564079695.0,3366813480.0,17341841062.487553,2946679241.529728,0.9357385412134025,0.8758587076138618,0.9467899374614612
Exports,10,slowest_growth,Panama,PAN,2012,2022,low_product_low_partner,-0.17445079622762522,16761427112.0,3652153568.0,18951606507.90213,3311432058.1831865,0.9331448740028481,0.8904003875779596,0.9488874547954869
Exports,10,slowest_growth,Panama,PAN,2011,2021,high_product_low_partner,-0.16061382591338252,15895615039.0,3781922651.0,18307348290.62704,3673571193.0216475,0.9392110662909361,0.8914800064987223,0.9497394838382618
Exports,10,slowest_growth,Niger,NER,2013,2023,high_product_high_partner,-0.1292499605702094,1337151358.0,467426222.43700004,1489883551.1857994,409097550.1861675,0.9825766859724949,0.9234783454366506,0.9801251841312577
Imports,1,fastest_growth,Panama,PAN,2005,2006,high_product_low_partner,2.090778878379897,963215608.0,8033926729.0,1244356823.9329495,10068358329.045803,0.8813904134705983,0.8459223966891167,0.9238365584502699
Imports,1,fastest_growth,Azerbaijan,AZE,2007,2008,high_product_low_partner,2.049047503452222,6036969402.0,47752588281.0,7366146208.05674,57165019855.007835,0.8936664505241421,0.8702406417844308,0.9371187343186564
Imports,1,fastest_growth,Rwanda,RWA,1996,1997,high_product_low_partner,1.436471032413941,9757476.0,41745955.0,15082003.65273988,63432303.73954871,0.8989788889387449,0.8541000957635596,0.8858163977679041
Imports,1,fastest_growth,Guyana,GUY,2019,2020,high_product_high_partner,1.2446740325733856,1486517190.8760002,5195921811.127,1517472339.1549134,5268364898.4089,0.928520697040303,0.9330872431802568,0.9544903997732923
Imports,1,fastest_growth,Zimbabwe,ZWE,2005,2006,high_product_high_partner,1.0925863020110107,1878268248.3610003,5773676470.191999,2426492981.023828,7235744803.1031685,0.9066393338027932,0.9337213509163471,0.9484687822206357
Imports,1,slowest_growth,Rwanda,RWA,2001,2002,high_product_low_partner,-1.6251698180314627,186706568.0,37329699.0,264545969.02934158,52083344.48801498,0.9187533834275532,0.8325579449671043,0.9244578718006125
Imports,1,slowest_growth,Azerbaijan,AZE,2008,2009,high_product_low_partner,-1.1861970927641998,47752588281.0,14672649400.0,57165019855.007835,17457076168.811775,0.894295591053879,0.8649898211081477,0.9339993460165725
Imports,1,slowest_growth,Panama,PAN,2023,2024,high_product_low_partner,-1.0914875666927628,3366813480.0,1158357714.0,2946679241.529728,989249492.9933231,0.8877116519987063,0.8696002983922642,0.9343457653831686
Imports,1,slowest_growth,Panama,PAN,2020,2021,high_product_low_partner,-0.8705616427724543,8652773550.0,3781922651.0,8773413092.375486,3673571193.0216475,0.8894676980654312,0.8486033098981698,0.9336164859325953
Imports,1,slowest_growth,Zimbabwe,ZWE,2007,2008,high_product_high_partner,-0.8364105666228703,2640950132.182,1166271396.9360003,3222415670.2524543,1396153171.2135715,0.919905284617794,0.916499635665126,0.9582123729132228
Imports,5,fastest_growth,Rwanda,RWA,1996,2001,high_product_low_partner,0.5729025620354584,9757476.0,186706568.0,15082003.65273988,264545969.02934158,0.8989788889387449,0.8541000957635596,0.8858163977679041
